0,C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,cloudsight,blue brown white and gray people riding on horse near body of water with mermaid painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,cloudsight,woman holding squirrel painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,cloudsight,birds painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\forestfl.jpg,cloudsight,painting of snake crawling in plant,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\garden_e (1).jpg,cloudsight,animals under trees during daytime,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\mockery (1).jpg,cloudsight,types of birds on a brown tree painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\noahsarx.jpg,cloudsight,man feeding rooster and peacock painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\orpheus (1).jpg,cloudsight,variety of animals and 1 red dressed person in middle of forest trees painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\paradis0 (1).jpg,cloudsight,renaissance art portrait,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\paradlan (1).jpg,cloudsight,animals and people painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\peacocks (1).jpg,cloudsight,black white ducks with peacock painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\bird\study3.jpg,cloudsight,yellow and gray coated bird,1,
0,C:\Users\yahel\Downloads\Categories\animals\camel\04nunzia.jpg,cloudsight,people near tree artwork,1,
0,C:\Users\yahel\Downloads\Categories\animals\camel\106muril.jpg,cloudsight,panting of 2 woman carrying vase,1,
0,C:\Users\yahel\Downloads\Categories\animals\camel\142misc.jpg,cloudsight,camel and 2 person sketch,1,
0,C:\Users\yahel\Downloads\Categories\animals\camel\3mark.jpg,cloudsight,man carried by 3 other man painting,1,
0,C:\Users\yahel\Downloads\Categories\animals\camel\arabian.jpg,cloudsight,man on a camel ceramic figurine,1,
